Dim0
[0.38186947 4.271244  ]
[14.655863 -9.698499]
[-1.9272493 17.410686 ]
[10.333593 31.641464]
[ 3.8470414 16.403473 ]
[ 1.7631569 -1.0028018]
[10.943535 48.972935]
[ 1.617796 -5.485092]
[ -4.7479343 -17.978224 ]
[16.576975 -8.267021]
[-6.967999 15.666048]
[2.7181797  0.26142192]
[ 8.327309 32.545403]
[ 1.3806666 43.647198 ]
[22.211893 27.764168]
[3.515324 1.132237]
[ 2.1157286 -0.6600378]
[-76.23948  40.45872]
[ 14.497877 -18.684885]
[0.95214325 6.5716605 ]
[3.1096091 3.1186025]
[-0.3984108 -5.1439176]
[22.277891 27.820496]
[-0.8122045  5.371236 ]
[ 1.2030944 44.196106 ]
[-76.24791   40.464817]
[ -2.810847 -14.932667]
[ 3.102162 37.936863]
[ 14.237029 -18.41344 ]
[ 1.9434325 11.955797 ]
[ -7.7947454 -13.087503 ]
[ 13.455491 -16.894497]
[ 2.1550446 -3.236208 ]
[1.4724946 2.1410296]
[ 22.325266 -24.768606]
[  1.6773645 -11.761173 ]
[ 15.555893 -15.104444]
[19.350618 26.861984]
[-31.840706  12.576845]
[-0.8538399 -6.3286853]
[15.691811 -8.999568]
[16.797825 27.137695]
[ 12.104886 -16.364132]
[ 17.336157 -20.317673]
[ 2.14487  13.431844]
[ 18.530151 -21.222622]
[ 2.7297227 -5.5331903]
[ 10.801333  -13.3637085]
[-2.0370905 -9.44662  ]
[  4.0886064 -11.345256 ]
[-0.8070883 -6.4158015]
[ 2.1854098 13.003005 ]
[17.062796 -7.829238]
[ 10.344832 -14.595585]
[-76.24791   40.464817]
[  7.1039066 -11.566374 ]
[ 13.700223 -17.783548]
[4.065941  1.5500127]
[-0.02787373 -3.6010592 ]
[5.511822  1.9925461]
[-0.36974096  2.0878708 ]
[ 0.8862321 -4.7348256]
[-2.99634  -9.993304]
[5.5809402 1.9839478]
[ 5.8377194 34.979126 ]
[ 1.1601498 44.859314 ]
[  8.075403 -12.815079]
[ 1.7735852 10.601017 ]
[-76.24791   40.464817]
[ 22.287119 -24.725489]
[ 19.653553 -22.164999]
[0.31307495 1.0235087 ]
[3.5924108 1.1674728]
[-1.5995301 -8.93994  ]
[5.615332  1.9826026]
[-76.242836  40.461136]
[16.714632 48.214127]
[-11.484456  15.350725]
[ 0.3455219 12.135718 ]
[ 3.3413506 47.671066 ]
[5.6423616 1.9903779]
[4.3838053 1.6218578]
[ -9.263811 -14.511097]
[-0.65427655  3.195961  ]
[-0.5372379 -4.71799  ]
[  7.3072004 -13.107997 ]
[ -7.0923367 -17.997366 ]
[  7.1858463 -11.580544 ]
[23.602346 28.650557]
[ 20.9932  -23.41673]
[3.2558866  0.83045954]
[ 10.359096 -12.149606]
[15.936329 27.593586]
[ 6.526032 21.31519 ]
[ 2.9419668 14.67095  ]
[0.11315927 5.564654  ]
[ 0.8501235 -5.6170297]
[ 12.185454 -15.250947]
[-75.693115  40.06074 ]
[ 22.332542 -24.776693]
[ 1.397822 42.342583]
[25.08752  30.866816]
[ 0.7863692 46.21611  ]
[ 1.3657793 42.993565 ]
[ -1.2314467 -15.330023 ]
[ 22.109331 -24.536963]
[-76.24791   40.464817]
[ -0.74202865 -14.992976  ]
[-76.24791   40.464817]
[15.079388 -9.3029  ]
[ 21.685932 -24.155169]
[1.070853  0.6024683]
[ 22.226885 -24.65871 ]
[-73.14198   38.202736]
[ -6.4970484 -18.115568 ]
[  3.021975 -10.878667]
[  2.471871 -11.610202]
[0.989412 2.979386]
[  7.56428  -12.399578]
[-75.14474   39.661358]
[ -3.1254797 -16.88388  ]
[ 0.6051787 -2.3568964]
[ -5.4409566 -12.082679 ]
[23.027067 43.113564]
[-73.95862   38.797493]
[  3.8959982 -11.522951 ]
[ -0.067962 -13.971373]
[ 18.542566 -21.232773]
[ 21.123909 -23.548119]
[16.991266 -7.935999]
[-76.24791   40.464817]
[ 22.142778 -24.569712]
[19.825115 27.114704]
[ 1.7675418 -2.2700984]
[ 22.144379 -24.576126]
[ 2.6089642 -7.103317 ]
[-66.59403  33.43369]
[1.6539527 9.892621 ]
[ 10.033688  -11.4482155]
[ 9.783361 28.59434 ]
[ 12.064927 -16.255457]
[ -5.6323614 -18.213497 ]
[1.0825274 1.7959827]
[ 22.15008  -24.576918]
[ 15.664801 -15.454624]
[ -3.9206386 -15.739798 ]
[  5.9611955 -11.739517 ]
[ -6.12344 -12.03221]
[-62.394646  30.611351]
[-75.927505  40.23212 ]
[ 20.977375 -23.403027]
[ 15.554638  -14.9489765]
[  9.709454 -11.59964 ]
[ 0.8688934 45.822624 ]
[ 2.3534093 16.091425 ]
[-0.15326531  1.667219  ]
[ 2.844769  -6.1357517]
[ 15.866719 -19.721708]
[  5.953077 -11.61991 ]
[ 11.971633  -14.4155445]
[ 0.89692366 10.054032  ]
[-71.87929  37.28563]
[1.643     6.5888906]
[ 14.266371 -11.186082]
[  2.0436614 -11.641898 ]
[-0.83964896  6.0038133 ]
[-0.4106638  9.875979 ]
[15.355486 27.747654]
[  3.8338275 -10.72207  ]
[-31.369482  11.195093]
[ 10.051152 -11.785676]
[ 9.4142  32.05469]
[ 10.270413 -14.588994]
[  7.2606106 -11.612021 ]
[ 17.975334 -20.61527 ]
[  5.5304966 -11.669417 ]
[ 14.9882145 -19.144428 ]
[  7.830789 -12.126995]
[ 2.5001717 -5.484892 ]
[ 10.069871 -11.238234]
[12.267864 30.666561]
[1.0132797 3.517063 ]
[-0.9180167  6.9647646]
[ 15.241523 -19.309586]
[ -0.16354646 -14.177627  ]
[ 22.31141  -24.752726]
[ 16.206116 -19.861732]
[ 22.283659 -24.72179 ]
[ -0.07773127 -13.98237   ]
[-76.24791   40.464817]
[ -1.2849799 -15.386301 ]
[  9.493005 -13.237939]
[-0.92761964  4.440568  ]
[ 10.910155 -13.412041]
[-76.24791   40.464817]
[0.89047956 8.492411  ]
[ 22.288767 -24.727818]
[24.106773 41.9596  ]
[  8.140562  -11.4334135]
[ 10.589723 -14.905743]
[ 13.41243  -16.718119]
[  3.3616607 -10.884622 ]
[ 15.857278 -19.715757]
[  0.04947069 -13.729347  ]
[ 16.045448 -19.798912]
[  7.1412864 -11.34142  ]
[ 17.671282 -20.554884]
[ 22.319357 -24.76061 ]
[  8.511291 -12.661031]
[ 22.254322 -24.690073]
[13.821496 28.551004]
[ -9.341552 -15.497531]
[ 2.5104215 -8.332131 ]
[  3.9492722 -11.499378 ]
[-76.24791   40.464817]
[ 13.455156 -16.993553]
[ 13.130093 -16.288885]
[  0.23778155 -13.363828  ]
[15.788214 -8.952737]
[19.424143 26.916056]
